dt,AverageTemperature,Country,dt_formatted,month_offset
1878-04-01,26.313,Indonesia,1878-04-01,640
1878-05-01,25.853,Indonesia,1878-05-01,641
1878-06-01,25.912,Indonesia,1878-06-01,642
1878-07-01,25.696,Indonesia,1878-07-01,643
1878-08-01,25.418000000000003,Indonesia,1878-08-01,644
1878-09-01,25.831,Indonesia,1878-09-01,645
1878-10-01,26.061,Indonesia,1878-10-01,646
1878-11-01,25.905,Indonesia,1878-11-01,647
1878-12-01,25.158,Indonesia,1878-12-01,648
1879-01-01,25.1,Indonesia,1879-01-01,649
1879-02-01,25.3,Indonesia,1879-02-01,650
1879-03-01,25.16,Indonesia,1879-03-01,651
1879-04-01,25.202,Indonesia,1879-04-01,652
1879-05-01,25.252,Indonesia,1879-05-01,653
1879-06-01,25.25,Indonesia,1879-06-01,654
1879-07-01,25.14,Indonesia,1879-07-01,655
1879-08-01,24.648000000000003,Indonesia,1879-08-01,656
1879-09-01,25.054,Indonesia,1879-09-01,657
1879-10-01,25.114,Indonesia,1879-10-01,658
1879-11-01,25.203000000000003,Indonesia,1879-11-01,659
1879-12-01,24.943,Indonesia,1879-12-01,660
1880-01-01,24.496,Indonesia,1880-01-01,661
1880-02-01,25.192,Indonesia,1880-02-01,662
1880-03-01,25.419,Indonesia,1880-03-01,663
1880-04-01,25.06900000000001,Indonesia,1880-04-01,664
1880-05-01,25.729,Indonesia,1880-05-01,665
1880-06-01,25.041,Indonesia,1880-06-01,666
1880-07-01,24.923,Indonesia,1880-07-01,667
1880-08-01,25.382,Indonesia,1880-08-01,668
1880-09-01,25.128,Indonesia,1880-09-01,669
1880-10-01,25.324,Indonesia,1880-10-01,670
1880-11-01,25.418000000000003,Indonesia,1880-11-01,671
1880-12-01,24.759,Indonesia,1880-12-01,672
1881-01-01,25.14,Indonesia,1881-01-01,673
1881-02-01,25.124,Indonesia,1881-02-01,674
1881-03-01,25.539,Indonesia,1881-03-01,675
1881-04-01,25.454,Indonesia,1881-04-01,676
1881-05-01,25.9,Indonesia,1881-05-01,677
1881-06-01,25.252,Indonesia,1881-06-01,678
1881-07-01,25.262,Indonesia,1881-07-01,679
1881-08-01,25.213,Indonesia,1881-08-01,680
1881-09-01,25.253,Indonesia,1881-09-01,681
1881-10-01,25.552000000000003,Indonesia,1881-10-01,682
1881-11-01,25.419,Indonesia,1881-11-01,683
1881-12-01,25.506,Indonesia,1881-12-01,684
1882-01-01,25.917,Indonesia,1882-01-01,685
1882-02-01,25.745,Indonesia,1882-02-01,686
1882-03-01,25.432,Indonesia,1882-03-01,687
1882-04-01,25.564,Indonesia,1882-04-01,688
1882-05-01,25.492,Indonesia,1882-05-01,689
1882-06-01,24.987,Indonesia,1882-06-01,690
1882-07-01,24.938,Indonesia,1882-07-01,691
1882-08-01,24.967,Indonesia,1882-08-01,692
1882-09-01,25.459,Indonesia,1882-09-01,693
1882-10-01,25.195,Indonesia,1882-10-01,694
1882-11-01,25.076,Indonesia,1882-11-01,695
1882-12-01,24.889000000000006,Indonesia,1882-12-01,696
1883-01-01,25.249,Indonesia,1883-01-01,697
1883-02-01,24.873,Indonesia,1883-02-01,698
1883-03-01,25.903,Indonesia,1883-03-01,699
1883-04-01,25.453000000000003,Indonesia,1883-04-01,700
1883-05-01,25.432,Indonesia,1883-05-01,701
1883-06-01,25.692,Indonesia,1883-06-01,702
1883-07-01,25.411,Indonesia,1883-07-01,703
1883-08-01,25.239,Indonesia,1883-08-01,704
1883-09-01,25.294,Indonesia,1883-09-01,705
1883-10-01,25.239,Indonesia,1883-10-01,706
1883-11-01,25.125,Indonesia,1883-11-01,707
1883-12-01,24.752,Indonesia,1883-12-01,708
1884-01-01,24.577,Indonesia,1884-01-01,709
1884-02-01,24.89,Indonesia,1884-02-01,710
1884-03-01,24.856,Indonesia,1884-03-01,711
1884-04-01,25.092,Indonesia,1884-04-01,712
1884-05-01,25.144,Indonesia,1884-05-01,713
1884-06-01,25.067,Indonesia,1884-06-01,714
1884-07-01,24.595,Indonesia,1884-07-01,715
1884-08-01,24.725,Indonesia,1884-08-01,716
1884-09-01,24.928,Indonesia,1884-09-01,717
1884-10-01,25.172,Indonesia,1884-10-01,718
1884-11-01,25.199,Indonesia,1884-11-01,719
1884-12-01,24.918000000000006,Indonesia,1884-12-01,720
1885-01-01,24.962,Indonesia,1885-01-01,721
1885-02-01,25.040000000000006,Indonesia,1885-02-01,722
1885-03-01,25.441,Indonesia,1885-03-01,723
1885-04-01,25.511000000000006,Indonesia,1885-04-01,724
1885-05-01,25.5,Indonesia,1885-05-01,725
1885-06-01,25.095,Indonesia,1885-06-01,726
1885-07-01,24.933000000000003,Indonesia,1885-07-01,727
1885-08-01,25.093000000000004,Indonesia,1885-08-01,728
1885-09-01,25.12,Indonesia,1885-09-01,729
1885-10-01,25.517000000000003,Indonesia,1885-10-01,730
1885-11-01,25.233,Indonesia,1885-11-01,731
1885-12-01,25.13000000000001,Indonesia,1885-12-01,732
1886-01-01,24.867,Indonesia,1886-01-01,733
1886-02-01,24.788,Indonesia,1886-02-01,734
1886-03-01,25.227,Indonesia,1886-03-01,735
1886-04-01,25.343000000000004,Indonesia,1886-04-01,736
1886-05-01,25.582,Indonesia,1886-05-01,737
1886-06-01,25.292,Indonesia,1886-06-01,738
1886-07-01,25.275,Indonesia,1886-07-01,739
1886-08-01,25.14,Indonesia,1886-08-01,740
1886-09-01,25.419,Indonesia,1886-09-01,741
1886-10-01,25.574,Indonesia,1886-10-01,742
1886-11-01,25.146,Indonesia,1886-11-01,743
1886-12-01,24.986,Indonesia,1886-12-01,744
1887-01-01,24.415,Indonesia,1887-01-01,745
1887-02-01,24.679,Indonesia,1887-02-01,746
1887-03-01,24.87,Indonesia,1887-03-01,747
1887-04-01,24.741,Indonesia,1887-04-01,748
1887-05-01,25.193,Indonesia,1887-05-01,749
1887-06-01,24.586,Indonesia,1887-06-01,750
1887-07-01,24.768,Indonesia,1887-07-01,751
1887-08-01,24.587,Indonesia,1887-08-01,752
1887-09-01,24.957,Indonesia,1887-09-01,753
1887-10-01,25.117,Indonesia,1887-10-01,754
1887-11-01,24.968000000000004,Indonesia,1887-11-01,755
1887-12-01,24.703000000000007,Indonesia,1887-12-01,756
1888-01-01,24.241,Indonesia,1888-01-01,757
1888-02-01,24.872,Indonesia,1888-02-01,758
1888-03-01,25.373,Indonesia,1888-03-01,759
1888-04-01,25.491,Indonesia,1888-04-01,760
1888-05-01,25.784,Indonesia,1888-05-01,761
1888-06-01,25.525,Indonesia,1888-06-01,762
1888-07-01,25.205,Indonesia,1888-07-01,763
1888-08-01,25.281,Indonesia,1888-08-01,764
1888-09-01,25.306,Indonesia,1888-09-01,765
1888-10-01,25.85,Indonesia,1888-10-01,766
1888-11-01,25.659,Indonesia,1888-11-01,767
1888-12-01,25.289,Indonesia,1888-12-01,768
1889-01-01,25.624,Indonesia,1889-01-01,769
1889-02-01,25.864,Indonesia,1889-02-01,770
1889-03-01,26.01,Indonesia,1889-03-01,771
1889-04-01,26.398000000000003,Indonesia,1889-04-01,772
1889-05-01,26.347,Indonesia,1889-05-01,773
1889-06-01,25.98,Indonesia,1889-06-01,774
1889-07-01,25.0,Indonesia,1889-07-01,775
1889-08-01,25.322,Indonesia,1889-08-01,776
1889-09-01,25.323,Indonesia,1889-09-01,777
1889-10-01,25.47600000000001,Indonesia,1889-10-01,778
1889-11-01,25.14,Indonesia,1889-11-01,779
1889-12-01,24.979000000000006,Indonesia,1889-12-01,780
1890-01-01,25.241,Indonesia,1890-01-01,781
1890-02-01,25.071,Indonesia,1890-02-01,782
1890-03-01,25.257,Indonesia,1890-03-01,783
1890-04-01,25.241,Indonesia,1890-04-01,784
1890-05-01,25.245,Indonesia,1890-05-01,785
1890-06-01,25.07,Indonesia,1890-06-01,786
1890-07-01,24.766,Indonesia,1890-07-01,787
1890-08-01,24.646,Indonesia,1890-08-01,788
1890-09-01,24.984,Indonesia,1890-09-01,789
1890-10-01,25.048,Indonesia,1890-10-01,790
1890-11-01,24.94,Indonesia,1890-11-01,791
1890-12-01,24.888,Indonesia,1890-12-01,792
1891-01-01,24.845,Indonesia,1891-01-01,793
1891-02-01,24.899,Indonesia,1891-02-01,794
1891-03-01,25.277,Indonesia,1891-03-01,795
1891-04-01,25.292,Indonesia,1891-04-01,796
1891-05-01,25.707,Indonesia,1891-05-01,797
1891-06-01,25.363000000000003,Indonesia,1891-06-01,798
1891-07-01,24.803,Indonesia,1891-07-01,799
1891-08-01,24.591,Indonesia,1891-08-01,800
1891-09-01,25.267,Indonesia,1891-09-01,801
1891-10-01,25.49,Indonesia,1891-10-01,802
1891-11-01,25.371,Indonesia,1891-11-01,803
1891-12-01,25.290000000000006,Indonesia,1891-12-01,804
1892-01-01,25.044,Indonesia,1892-01-01,805
1892-02-01,25.288,Indonesia,1892-02-01,806
1892-03-01,25.265,Indonesia,1892-03-01,807
1892-04-01,25.086,Indonesia,1892-04-01,808
1892-05-01,25.233,Indonesia,1892-05-01,809
1892-06-01,25.687,Indonesia,1892-06-01,810
1892-07-01,25.258000000000003,Indonesia,1892-07-01,811
1892-08-01,24.802,Indonesia,1892-08-01,812
1892-09-01,25.439,Indonesia,1892-09-01,813
1892-10-01,25.528,Indonesia,1892-10-01,814
1892-11-01,24.912,Indonesia,1892-11-01,815
1892-12-01,25.135,Indonesia,1892-12-01,816
1893-01-01,24.273000000000003,Indonesia,1893-01-01,817
1893-02-01,24.664,Indonesia,1893-02-01,818
1893-03-01,25.25,Indonesia,1893-03-01,819
1893-04-01,25.44400000000001,Indonesia,1893-04-01,820
1893-05-01,25.467,Indonesia,1893-05-01,821
1893-06-01,25.06,Indonesia,1893-06-01,822
1893-07-01,25.058000000000003,Indonesia,1893-07-01,823
1893-08-01,24.778,Indonesia,1893-08-01,824
1893-09-01,25.266,Indonesia,1893-09-01,825
1893-10-01,25.175,Indonesia,1893-10-01,826
1893-11-01,25.428,Indonesia,1893-11-01,827
1893-12-01,24.956000000000003,Indonesia,1893-12-01,828
1894-01-01,24.479,Indonesia,1894-01-01,829
1894-02-01,25.087,Indonesia,1894-02-01,830
1894-03-01,25.244,Indonesia,1894-03-01,831
1894-04-01,25.278,Indonesia,1894-04-01,832
1894-05-01,25.148000000000003,Indonesia,1894-05-01,833
1894-06-01,24.865,Indonesia,1894-06-01,834
1894-07-01,24.76,Indonesia,1894-07-01,835
1894-08-01,24.959,Indonesia,1894-08-01,836
1894-09-01,25.216,Indonesia,1894-09-01,837
1894-10-01,25.447000000000006,Indonesia,1894-10-01,838
1894-11-01,25.002,Indonesia,1894-11-01,839
